submissionDate,state,totalCases,newCases,totalDeaths,newDeaths
05/14/2021,MA,700337,429,17742,20
08/31/2020,AS,0,0,0,0
01/16/2021,PR,89240,544,1690,0
11/03/2020,AR,114161,520,2003,18
02/11/2021,MP,133,0,2,0
04/20/2021,WV,149462,315,2789,4
02/20/2022,CO,1328395,738,11681,0
01/28/2021,PR,94710,419,1799,10
08/20/2021,NYC,1015574,2460,33721,16
06/30/2021,AK,68379,40,370,3
10/28/2020,MA,154218,1181,9977,20
02/24/2021,PW,0,0,0,0
06/29/2020,CO,33254,170,1682,6
10/16/2020,MA,142346,767,9741,19
01/31/2020,TX,0,0,0,0
08/09/2021,UT,440497,674,2503,3
02/27/2020,PW,0,0,0,0
04/12/2021,FL,2092975,9114,34720,60
10/14/2021,UT,527654,1253,3050,8
09/07/2021,PR,174772,361,2945,23
12/19/2020,AS,3,0,0,0
07/15/2020,FL,308144,13605,5569,172
10/23/2020,AS,0,0,0,0
12/04/2020,TX,1350542,16796,25057,227
08/15/2020,WV,8457,183,160,3
12/29/2020,MP,122,0,2,0
01/31/2020,WV,0,0,0,0
08/28/2021,OK,548156,1899,7928,35
11/09/2020,KS,103553,5920,1181,15
02/08/2021,TX,2491227,8040,43099,217
03/06/2022,CO,1336978,331,11810,0
01/27/2021,CO,401454,1502,5552,35
03/26/2020,MP,0,0,0,0
04/22/2021,NYC,917177,2088,32318,37
08/04/2020,FL,490440,5366,9815,245
07/15/2020,MP,36,3,2,0
09/22/2021,FL,3545149,6460,57152,235
